"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","03-Oct-2018","        583.20","        584.00","        594.40","        576.20","        578.50","        579.60","        587.62","    7217063","          4240910955.20","     138820","    1817325","         25.18"
"TATASTEEL","EQ","04-Oct-2018","        579.60","        576.75","        587.75","        570.00","        579.85","        582.30","        581.35","    7629840","          4435636380.90","     108885","    1418611","         18.59"
"TATASTEEL","EQ","05-Oct-2018","        582.30","        580.00","        586.00","        562.30","        564.95","        568.00","        573.64","    7868967","          4513967477.90","     115316","    1824662","         23.19"
"TATASTEEL","EQ","08-Oct-2018","        568.00","        567.00","        569.95","        544.00","        564.00","        559.80","        556.49","    9171048","          5103555391.80","     122812","    1123033","         12.25"
"TATASTEEL","EQ","09-Oct-2018","        559.80","        560.00","        583.90","        554.55","        571.30","        572.50","        568.36","    7734434","          4395974798.25","     102010","     661757","          8.56"
"TATASTEEL","EQ","10-Oct-2018","        572.50","        573.15","        587.80","        573.15","        579.50","        583.65","        581.37","    7153314","          4158741772.60","      91789","    2211459","         30.92"
"TATASTEEL","EQ","11-Oct-2018","        583.65","        557.00","        564.00","        549.05","        554.50","        555.15","        555.78","   10401643","          5780998166.00","     163204","    2164014","         20.80"
"TATASTEEL","EQ","12-Oct-2018","        555.15","        560.80","        578.80","        558.10","        578.50","        576.50","        570.50","    5733407","          3270887737.15","      83588","    1178256","         20.55"
"TATASTEEL","EQ","15-Oct-2018","        576.50","        578.25","        579.45","        566.50","        569.75","        570.00","        571.96","    4100183","          2345137822.05","      72795","     783197","         19.10"
"TATASTEEL","EQ","16-Oct-2018","        570.00","        571.10","        584.00","        569.60","        570.75","        572.80","        576.44","    5660568","          3262975297.85","      68578","    1553714","         27.45"
