Date,Open,High,Low,Close Price,Adj Close,Volume
2004-08-25,149.837006,149.837006,122.375,123.494003,65.250443,136928
2004-08-26,124,124.625,121.912003,122.375,64.659195,40443200
2004-08-27,122.800003,122.800003,119.82,120.332001,63.579727,30646000
2004-08-30,121.237999,123.75,120.625,123.345001,65.171692,24465208
2004-08-31,123.311996,123.75,122,123.512001,65.259933,21194656
2004-09-01,123.75,124.375,122.949997,123.487999,65.247246,19935544
2004-09-02,123.737999,125.574997,123.25,124.207001,65.627159,21356352
2004-09-03,125.75,137.5,123.794998,124.732002,65.904549,9869856
2004-09-06,129.988007,129.988007,124.112999,124.357002,65.706398,9038672
2004-09-07,129.375,129.375,124.375,124.449997,65.755547,5772232
2004-09-08,124.5,125.099998,123.887001,124.212997,65.630333,6593984
2004-09-09,124.625,124.737999,122.307999,122.495003,64.722603,7947184
2004-09-10,123.75,123.75,122,123.599998,65.306435,6415072
2004-09-13,123.875,126.938004,123.875,125.438004,66.27755,20904912
2004-09-14,125.625,127.349998,125.370003,126.957001,67.080177,15335472
2004-09-15,127.25,127.5,125.150002,125.762001,66.448753,11988288
2004-09-16,125.875,126.875,125.311996,126.057999,66.605164,7358224
2004-09-17,126.5,128.738007,126.287003,128.061996,67.663994,14627896
2004-09-20,129.050003,129.613007,127.519997,127.862999,67.558884,8552224
2004-09-21,128.106995,131.061996,127.75,130.725006,69.071068,13897080
2004-09-22,131.050003,132,129.636993,131.507996,69.484795,15371584
2004-09-23,131,131.125,128.375,128.783005,68.044991,15819680
2004-09-24,128.636993,130,128.25,128.600006,67.948273,8083208
2004-09-27,128.438004,129.061996,126.875,127.595001,67.417244,8229512
2004-09-28,127,128.425003,126.561996,126.945,67.073807,6339416
2004-09-29,127.407997,129.125,127.019997,128.875,68.093567,11737176
2004-09-30,129.449997,130.113007,127.582001,128.386993,67.835732,12521432
2004-10-01,128.625,132.057007,128.294998,130.962006,69.196274,10968888
2004-10-04,132.125,135.125,131.807007,134.561996,71.098396,15129824
2004-10-05,135.037994,136.125,134.438004,135.087006,71.375793,14341288
2004-10-06,135.125,137.850006,134.382996,135.199997,71.435509,17670664
2004-10-07,135.375,137.5,135.375,137.136993,72.458977,10080128
2004-10-08,137.25,138.875,136.875,137.257996,72.522881,8558920
2004-10-11,137.5,138.938004,135.625,136.162994,71.944328,9332056
2004-10-12,138.75,139.375,134.707993,135.557007,71.624153,15600512
2004-10-13,null,null,null,null,null,null
2004-10-14,137.875,140.5,136.007996,139.524994,73.720688,19225984
2004-10-15,140.212006,142.625,139.658005,140.75,74.367935,17799744
2004-10-18,141.75,142.75,140.658005,142.158005,75.111916,13693344
2004-10-19,142.520004,143.587006,142.011993,142.899994,75.503952,11767128
2004-10-20,143.100006,143.738007,141.125,141.658005,74.847717,7206832
2004-10-21,142.158005,142.375,140.25,140.695007,74.338898,6413520
2004-10-22,null,null,null,null,null,null
2004-10-25,140.625,140.875,138.845001,139.669998,73.79731,9390272
